sample_datetime bat cal_start_datetime f id lat lon num sample_datetime temp x y z igrfx igrfy igrfz igrff
"2012-08-26 22:02:49" 13.2 "2012-08-26 22:00:00" 34106.01735383362 5 48.053768 -127.234833 169 "2012-08-26 22:02:49" 17.45 24876.7 -14876.1 17974.2 18714.88562500421 5851.316216620763 49778.50391390606 53563.263813442114
"2012-08-26 22:02:50" 13.2 "2012-08-26 22:00:00" 28494.732122622245 5 48.053768 -127.234833 170 "2012-08-26 22:02:50" 17.44 18067.1 -13853.2 17135.3 18714.88562500421 5851.316216620763 49778.50391390606 53563.263813442114
"2012-08-26 22:02:51" 13.2 "2012-08-26 22:00:00" 36954.46651718842 5 48.053768 -127.234833 171 "2012-08-26 22:02:51" 17.44 28879.9 -13588.0 18626.6 18714.88562500421 5851.316216620763 49778.50391390606 53563.263813442114
"2012-08-26 22:02:52" 13.2 "2012-08-26 22:00:00" 37770.939013082534 5 48.053768 -127.234833 172 "2012-08-26 22:02:52" 17.47 28191.9 -18783.6 16704.4 18714.88562500421 5851.316216620763 49778.50391390606 53563.263813442114
"2012-08-26 22:02:53" 13.2 "2012-08-26 22:00:00" 32822.5818809246 5 48.053768 -127.234833 173 "2012-08-26 22:02:53" 17.45 23276.7 -14753.0 17828.8 18714.88562500421 5851.316216620763 49778.50391390606 53563.263813442114
"2012-08-26 22:02:54" 13.2 "2012-08-26 22:00:00" 33420.388462882955 5 48.053768 -127.234833 174 "2012-08-26 22:02:54" 17.48 21007.9 -21430.2 14708.4 18714.88562500421 5851.316216620763 49778.50391390606 53563.263813442114
"2012-08-26 22:01:57" 13.2 "2012-08-26 22:00:00" 48957.566071139605 4 48.075081 -127.267334 117 "2012-08-26 22:01:57" 16.76 34571.3 30612.6 16264.6 18707.770030801872 5852.474157099048 49786.188101400156 53563.263813442114
"2012-08-26 22:01:58" 13.2 "2012-08-26 22:00:00" 44105.47761922548 4 48.075081 -127.267334 118 "2012-08-26 22:01:58" 16.75 27135.3 30283.3 17084.8 18707.770030801872 5852.474157099048 49786.188101400156 53563.263813442114
"2012-08-26 22:01:59" 13.2 "2012-08-26 22:00:00" 40309.30391497725 4 48.075081 -127.267334 119 "2012-08-26 22:01:59" 16.84 23021.9 27823.1 17908.3 18707.770030801872 5852.474157099048 49786.188101400156 53563.263813442114
"2012-08-26 22:02:00" 13.2 "2012-08-26 22:00:00" 37641.81131255509 4 48.075081 -127.267334 120 "2012-08-26 22:02:00" 16.83 18905.8 27580.2 17286.1 18707.770030801872 5852.474157099048 49786.188101400156 53563.263813442114
"2012-08-26 22:02:01" 13.2 "2012-08-26 22:00:00" 30222.020250472997 4 48.075081 -127.267334 121 "2012-08-26 22:02:01" 16.86 18444.8 11823.7 20817.3 18707.770030801872 5852.474157099048 49786.188101400156 53563.263813442114
"2012-08-26 22:02:02" 13.2 "2012-08-26 22:00:00" 30913.43996144719 4 48.075081 -127.267334 122 "2012-08-26 22:02:02" 16.87 19181.7 12208.0 20944.4 18707.770030801872 5852.474157099048 49786.188101400156 53563.263813442114
